car_number,Make,Model,Year,Mileage,Condition,Price
24,Ford,Civic,2010,66951,Excellent,28652.45
467,Honda,Altima,2010,109918,Excellent,26504.2
539,Ford,Silverado,2011,106621,Excellent,25669.05
531,Nissan,Silverado,2021,98401,Good,16079.95
618,Chevrolet,F-150,2021,40122,Excellent,18994.0
694,Toyota,Altima,2019,48268,Excellent,20586.6
926,Chevrolet,Altima,2011,38801,Excellent,29060.05
338,Honda,Camry,2017,137062,Fair,18147.0
51,Honda,Camry,2018,40238,Excellent,21988.2
507,Honda,Altima,2021,118937,Good,15053.15
516,Toyota,Civic,2018,42073,Excellent,21896.35
920,Ford,Camry,2021,21971,Fair,19901.55
781,Ford,F-150,2020,90987,Excellent,17450.65
264,Ford,Camry,2016,99676,Excellent,21016.3
817,Chevrolet,F-150,2011,50007,Fair,28499.75
710,Ford,Civic,2021,75674,Excellent,17216.4
682,Honda,Silverado,2021,52464,Fair,18376.9
832,Toyota,Civic,2012,45294,Excellent,27735.4
518,Nissan,F-150,2017,37884,Fair,23105.8
447,Ford,Silverado,2022,19645,Excellent,19017.65
18,Chevrolet,Camry,2010,121446,Excellent,25927.8
715,Honda,F-150,2011,33101,Good,29345.05
483,Honda,Silverado,2018,53638,Good,21318.2
568,Chevrolet,F-150,2022,83446,Good,15827.7
433,Chevrolet,Silverado,2015,27971,Excellent,25601.45
367,Toyota,Altima,2020,37051,Excellent,20147.45
83,Nissan,Camry,2013,58378,Good,26081.2
61,Toyota,Silverado,2020,54542,Excellent,19272.9
638,Chevrolet,Silverado,2010,116617,Excellent,26169.15
272,Ford,Civic,2010,51796,Fair,29410.3
285,Honda,Altima,2014,67624,Excellent,24618.7
360,Toyota,Civic,2019,126523,Excellent,16673.95
354,Ford,Civic,2019,13424,Excellent,22328.8
456,Ford,F-150,2019,42231,Excellent,20888.55
278,Honda,Silverado,2013,26857,Good,27657.15
12,Toyota,Silverado,2012,79902,Excellent,26005.0
182,Honda,Civic,2010,29471,Excellent,30526.55
368,Ford,Silverado,2018,141756,Excellent,16912.3
881,Toyota,F-150,2010,12923,Excellent,31353.95
615,Nissan,Camry,2010,54344,Excellent,29282.7
223,Toyota,Altima,2021,136052,Fair,14197.5
572,Honda,Altima,2010,131693,Excellent,25415.45
970,Honda,Camry,2011,57068,Excellent,28146.6
653,Toyota,Silverado,2019,131966,Fair,16401.7
545,Ford,Civic,2013,56750,Fair,26162.6
582,Honda,Civic,2022,142482,Excellent,12875.9
633,Honda,F-150,2020,116611,Fair,16169.55
176,Chevrolet,F-150,2010,63956,Good,28802.3
665,Chevrolet,F-150,2021,122918,Good,14854.2
673,Honda,Silverado,2022,85972,Excellent,15701.5
585,Chevrolet,Altima,2020,125852,Excellent,15707.4
873,Chevrolet,Civic,2019,84547,Excellent,18772.75
393,Ford,Silverado,2011,102294,Fair,25885.4
163,Toyota,Camry,2010,89811,Fair,27509.55
248,Nissan,Silverado,2014,14405,Excellent,27279.85
634,Toyota,F-150,2013,29909,Fair,27504.65
885,Toyota,Silverado,2010,115209,Excellent,26239.65
669,Nissan,Altima,2020,24393,Good,20780.35
375,Honda,Altima,2020,103522,Excellent,16823.9
412,Chevrolet,Camry,2019,34918,Good,21254.2
74,Honda,F-150,2017,119991,Good,19000.55
113,Honda,Altima,2020,108484,Excellent,16575.9
598,Chevrolet,Civic,2014,52705,Excellent,25364.85
961,Nissan,Altima,2016,67134,Good,22643.4
390,Ford,Camry,2019,127210,Excellent,16639.5
104,Nissan,F-150,2012,89140,Good,25543.1
114,Ford,Civic,2014,119922,Excellent,22004.0
417,Ford,Civic,2010,14502,Good,31275.0
525,Nissan,Altima,2015,77740,Excellent,23113.0
457,Nissan,Camry,2018,27069,Good,22646.65
409,Nissan,Civic,2016,89158,Fair,21542.1
92,Chevrolet,Civic,2011,68245,Good,27587.65
930,Chevrolet,F-150,2018,68977,Fair,20551.25
89,Chevrolet,Silverado,2015,141793,Excellent,19910.45
336,Ford,Altima,2012,26858,Excellent,28657.2
988,Toyota,Camry,2012,136407,Excellent,23179.75
921,Honda,Silverado,2020,31688,Excellent,20415.7
933,Honda,Civic,2016,38708,Excellent,24064.7
605,Toyota,Civic,2016,80795,Excellent,21960.25
593,Honda,Civic,2022,98546,Good,15072.7
611,Ford,Altima,2011,118056,Excellent,25097.3
94,Nissan,Altima,2018,133106,Good,17344.8
11,Nissan,Silverado,2016,101914,Good,20904.4
396,Chevrolet,Camry,2021,106594,Excellent,15670.4
533,Toyota,Altima,2015,65064,Excellent,23746.9
43,Honda,Silverado,2016,69108,Fair,22544.7
42,Toyota,Camry,2021,139945,Good,14002.85
329,Ford,Altima,2022,77020,Good,16149.1
167,Chevrolet,Civic,2014,15780,Excellent,27211.1
497,Honda,Silverado,2012,140142,Excellent,22993.0
876,Honda,Camry,2012,84092,Excellent,25795.5
597,Ford,Altima,2011,16447,Good,30177.65
756,Honda,Camry,2017,108648,Excellent,19567.6
100,Honda,Camry,2010,17346,Fair,31132.8
426,Honda,Altima,2011,28108,Good,29594.5
178,Nissan,Civic,2019,88161,Excellent,18591.95
444,Nissan,Silverado,2020,103321,Good,16834.05
416,Honda,Camry,2014,51798,Excellent,25410.2
870,Honda,Civic,2019,115299,Excellent,17235.05
882,Nissan,Altima,2012,43860,Excellent,27807.1
680,Ford,Civic,2013,81670,Good,24916.6
177,Honda,Civic,2019,49430,Excellent,20528.5
395,Toyota,Altima,2011,30166,Excellent,29491.8
911,Chevrolet,Altima,2012,126659,Excellent,23667.15
793,Toyota,F-150,2011,128818,Excellent,24559.0
960,Ford,Silverado,2019,70356,Excellent,19482.3
684,Honda,F-150,2014,103515,Good,22824.35
383,Ford,Camry,2018,118435,Excellent,18078.35
956,Ford,F-150,2013,134117,Excellent,22294.25
751,Toyota,Camry,2020,64221,Good,18789.05
257,Nissan,Civic,2021,57139,Good,18143.15
538,Ford,Civic,2010,121868,Excellent,25906.6
335,Toyota,Camry,2019,132258,Excellent,16387.2
15,Ford,F-150,2022,40633,Good,17968.35
324,Nissan,F-150,2018,23963,Excellent,22801.95
758,Chevrolet,Civic,2016,11795,Excellent,25410.35
222,Ford,Altima,2017,109535,Excellent,19523.25
179,Honda,Silverado,2021,96829,Excellent,16158.65
983,Toyota,Altima,2019,64217,Excellent,19789.25
22,Chevrolet,Silverado,2014,148697,Good,20565.15
356,Chevrolet,Altima,2019,105923,Excellent,17703.95
666,Chevrolet,Civic,2010,14506,Fair,31274.7
861,Nissan,Civic,2014,36447,Good,26177.75
340,Nissan,Camry,2022,87290,Good,15635.6
431,Honda,Camry,2014,19437,Good,27028.15
551,Nissan,Camry,2022,73222,Fair,16338.9
833,Honda,Silverado,2020,104399,Fair,16780.05
203,Chevrolet,Civic,2020,116223,Excellent,16188.95
630,Chevrolet,F-150,2014,29491,Excellent,26525.55
93,Chevrolet,F-150,2017,83613,Excellent,20819.45
558,Honda,Civic,2022,110420,Good,14479.1
68,Honda,Camry,2014,56311,Good,25184.35
622,Nissan,F-150,2014,99627,Excellent,23018.55
284,Honda,Camry,2011,98208,Fair,26089.5
844,Toyota,Civic,2022,46699,Good,17665.15
434,Honda,Silverado,2022,23865,Fair,18806.85
153,Ford,Silverado,2012,80614,Fair,25969.4
75,Ford,Altima,2017,135196,Good,18240.3
730,Chevrolet,Silverado,2011,22768,Excellent,29861.7
446,Ford,Altima,2012,99189,Fair,25040.65
188,Nissan,Civic,2016,64951,Excellent,22752.55
271,Ford,Civic,2020,68319,Excellent,18584.15
236,Chevrolet,Silverado,2011,79307,Good,27034.65
487,Chevrolet,Altima,2018,40594,Good,21970.4
117,Chevrolet,F-150,2011,98362,Good,26082.0
943,Chevrolet,Altima,2017,125611,Excellent,18719.55
512,Chevrolet,Silverado,2019,63271,Fair,19836.55
825,Nissan,F-150,2014,106119,Excellent,22694.15
591,Toyota,Camry,2011,143351,Excellent,23832.55
126,Ford,Civic,2017,26893,Excellent,23655.45
116,Honda,F-150,2014,46654,Good,25667.3
473,Nissan,Civic,2010,74570,Excellent,28271.5
693,Nissan,Camry,2013,139970,Excellent,22001.6
57,Toyota,Civic,2019,81972,Good,18901.5
863,Nissan,Silverado,2016,47829,Excellent,23608.65
912,Toyota,Altima,2011,60733,Excellent,27963.45
369,Toyota,Civic,2018,59531,Excellent,21023.55
268,Ford,Altima,2015,31804,Excellent,25409.9
46,Ford,Camry,2010,105649,Excellent,26717.55
349,Ford,Silverado,2020,16317,Good,21184.25
195,Toyota,Altima,2016,137717,Good,19114.25
999,Nissan,Silverado,2017,128390,Excellent,18580.6
834,Ford,Camry,2019,137827,Good,16108.65
736,Toyota,Civic,2018,92293,Excellent,19385.45
263,Chevrolet,Camry,2011,65729,Good,27713.55
443,Toyota,Camry,2012,71281,Good,26436.05
675,Nissan,Camry,2011,103788,Excellent,25810.7
304,Nissan,Civic,2019,117574,Excellent,17121.3
341,Honda,Civic,2015,146704,Excellent,19664.9
966,Ford,Altima,2017,78336,Fair,21083.2
149,Ford,F-150,2020,20087,Excellent,20995.75
